Date,Price,Open,High,Low,Vol.,Change %
03/07/2025,"8,072.00","8,114.00","8,114.00","8,013.00",0.04K,-0.26%
03/06/2025,"8,093.00","8,054.00","8,130.00","8,054.00",0.03K,-0.16%
03/05/2025,"8,106.00","8,060.00","8,110.00","8,060.00",0.76K,-0.34%
03/04/2025,"8,134.00","8,142.00","8,150.00","8,101.00",0.06K,0.01%
03/03/2025,"8,133.00","8,124.00","8,145.00","8,114.00",0.21K,0.07%
02/28/2025,"8,127.00","8,133.00","8,150.00","8,108.00",0.51K,0.35%
02/27/2025,"8,099.00","8,100.00","8,130.00","8,088.00",1.05K,0.12%
02/26/2025,"8,089.00","8,088.00","8,100.00","8,080.00",1.05K,-0.11%
02/25/2025,"8,098.00","8,092.00","8,106.00","8,088.00",0.83K,0.09%
02/24/2025,"8,091.00","8,073.00","8,124.00","8,073.00",1.64K,0.22%
02/21/2025,"8,073.00","8,031.00","8,100.00","8,031.00",1.51K,0.74%
02/20/2025,"8,014.00","8,009.00","8,041.00","7,985.00",2.51K,0.35%
02/19/2025,"7,986.00","7,973.00","8,014.00","7,955.00",1.95K,0.13%
02/18/2025,"7,976.00","8,040.00","8,080.00","8,030.00",0.36K,-1.09%
02/17/2025,"8,064.00","8,020.00","8,042.00","8,020.00",0.14K,0.61%
02/14/2025,"8,015.00","8,000.00","8,040.00","8,000.00",0.32K,0.06%
02/13/2025,"8,010.00","8,080.00","8,080.00","7,970.00",0.93K,-0.84%
02/12/2025,"8,078.00","8,045.00","8,100.00","8,045.00",1.48K,1.34%
02/11/2025,"7,971.00","7,950.00","8,000.00","7,950.00",0.10K,0.76%
02/10/2025,"7,911.00","7,900.00","7,940.00","7,871.00",0.28K,0.33%
02/07/2025,"7,885.00","7,832.00","7,908.00","7,832.00",0.19K,0.74%
02/06/2025,"7,827.00","7,817.00","7,863.00","7,810.00",0.75K,-0.11%
02/05/2025,"7,836.00","7,843.00","7,843.00","7,810.00",0.53K,-0.09%
01/27/2025,"7,843.00","7,851.00","7,878.00","7,810.00",0.34K,0.54%
01/24/2025,"7,801.00","7,780.00","7,830.00","7,756.00",1.11K,0.10%
01/23/2025,"7,793.00","7,800.00","7,819.00","7,775.00",1.09K,-0.24%
01/22/2025,"7,812.00","7,840.00","7,840.00","7,792.00",1.73K,-0.96%
01/21/2025,"7,888.00","7,900.00","7,908.00","7,850.00",2.11K,0.10%
01/20/2025,"7,880.00","7,970.00","7,970.00","7,835.00",5.64K,-1.40%
01/17/2025,"7,992.00","8,010.00","8,011.00","7,960.00",8.05K,-0.58%
01/16/2025,"8,039.00","8,070.00","8,082.00","7,973.00",3.90K,-5.57%
01/15/2025,"8,513.00","8,200.00","8,200.00","8,200.00",0.45K,1.89%
01/14/2025,"8,355.00","8,410.00","8,410.00","8,300.00",0.38K,-1.04%
01/13/2025,"8,443.00","8,440.00","8,450.00","8,440.00",0.50K,0.51%
01/10/2025,"8,400.00","8,400.00","8,400.00","8,400.00",,0.00%
01/09/2025,"8,400.00","8,400.00","8,400.00","8,400.00",0.24K,-0.33%
01/08/2025,"8,428.00","8,440.00","8,441.00","8,400.00",0.81K,0.12%
01/07/2025,"8,418.00","8,500.00","8,500.00","8,350.00",2.82K,-1.42%
01/06/2025,"8,539.00","8,547.00","8,560.00","8,500.00",5.42K,-0.09%
01/03/2025,"8,547.00","8,526.00","8,580.00","8,526.00",6.99K,0.25%
01/02/2025,"8,526.00","8,523.00","8,550.00","8,511.00",8.67K,0.04%
12/31/2024,"8,523.00","8,497.00","8,548.00","8,482.00",28.70K,0.50%
12/30/2024,"8,481.00","8,465.00","8,502.00","8,440.00",24.42K,0.07%
12/27/2024,"8,475.00","8,456.00","8,499.00","8,455.00",37.27K,0.36%
12/26/2024,"8,445.00","8,437.00","8,466.00","8,422.00",32.31K,0.01%
12/25/2024,"8,444.00","8,452.00","8,465.00","8,426.00",36.67K,0.25%
12/24/2024,"8,423.00","8,418.00","8,445.00","8,403.00",37.05K,0.01%
12/23/2024,"8,422.00","8,407.00","8,445.00","8,392.00",58.88K,0.01%
12/20/2024,"8,421.00","8,435.00","8,441.00","8,402.00",59.05K,-0.28%
12/19/2024,"8,445.00","8,425.00","8,488.00","8,406.00",99.20K,0.30%
12/18/2024,"8,420.00","8,399.00","8,448.00","8,392.00",59.61K,0.25%
12/17/2024,"8,399.00","8,413.00","8,428.00","8,370.00",74.78K,0.16%
12/16/2024,"8,386.00","8,350.00","8,439.00","8,350.00",128.22K,-3.64%
12/13/2024,"8,703.00","8,703.00","8,703.00","8,703.00",0.00K,0.07%
12/12/2024,"8,697.00","8,697.00","8,697.00","8,697.00",,0.00%
12/11/2024,"8,697.00","8,697.00","8,697.00","8,697.00",,0.00%
12/10/2024,"8,697.00","8,697.00","8,697.00","8,697.00",,0.00%
12/09/2024,"8,697.00","8,697.00","8,697.00","8,697.00",,0.00%
12/06/2024,"8,697.00","8,551.00","8,879.00","8,551.00",0.06K,-0.37%
12/05/2024,"8,729.00","8,711.00","8,749.00","8,698.00",0.37K,0.22%
12/04/2024,"8,710.00","8,766.00","8,872.00","8,578.00",0.24K,0.26%
12/03/2024,"8,687.00","8,685.00","8,750.00","8,647.00",0.27K,-0.26%
12/02/2024,"8,710.00","8,614.00","8,750.00","8,614.00",0.21K,0.88%
11/29/2024,"8,634.00","8,576.00","8,680.00","8,520.00",0.13K,0.08%
11/28/2024,"8,627.00","8,627.00","8,749.00","8,525.00",0.08K,-0.35%
11/27/2024,"8,657.00","8,660.00","8,749.00","8,632.00",0.12K,0.30%
11/26/2024,"8,631.00","8,644.00","8,660.00","8,594.00",0.13K,0.26%
11/25/2024,"8,609.00","8,627.00","8,655.00","8,542.00",0.33K,-0.22%
11/22/2024,"8,628.00","8,634.00","8,670.00","8,604.00",0.91K,-0.16%
11/21/2024,"8,642.00","8,655.00","8,679.00","8,604.00",0.36K,0.97%
11/20/2024,"8,559.00","8,520.00","8,645.00","8,520.00",0.60K,1.88%
11/19/2024,"8,401.00","8,357.00","8,520.00","8,350.00",1.97K,0.53%
11/18/2024,"8,357.00","8,390.00","8,397.00","8,305.00",1.27K,-0.51%
11/15/2024,"8,400.00","8,379.00","8,435.00","8,373.00",1.72K,2.25%
11/14/2024,"8,215.00","8,215.00","8,215.00","8,215.00",0.02K,-0.54%
11/13/2024,"8,260.00","8,260.00","8,260.00","8,260.00",,0.00%
11/12/2024,"8,260.00","8,260.00","8,260.00","8,260.00",,0.00%
11/11/2024,"8,260.00","8,260.00","8,260.00","8,260.00",,0.00%
11/08/2024,"8,260.00","8,260.00","8,260.00","8,260.00",0.00K,0.76%
11/07/2024,"8,198.00","8,166.00","8,278.00","8,128.00",0.10K,-0.28%
11/06/2024,"8,221.00","8,206.00","8,263.00","8,173.00",0.15K,0.33%
11/05/2024,"8,194.00","8,199.00","8,309.00","8,107.00",0.34K,-0.33%
11/04/2024,"8,221.00","8,210.00","8,580.00","8,168.00",0.40K,-0.12%
11/01/2024,"8,231.00","8,286.00","8,325.00","8,088.00",0.29K,0.49%
10/31/2024,"8,191.00","8,165.00","8,291.00","8,146.00",0.18K,0.45%
10/30/2024,"8,154.00","8,198.00","8,263.00","8,114.00",0.34K,-1.18%
10/29/2024,"8,251.00","8,254.00","8,278.00","8,171.00",0.20K,-0.76%
10/28/2024,"8,314.00","8,294.00","8,370.00","8,263.00",0.70K,0.54%
10/25/2024,"8,269.00","8,230.00","8,309.00","8,230.00",0.65K,0.49%
10/24/2024,"8,229.00","8,222.00","8,272.00","8,183.00",1.45K,0.09%
10/23/2024,"8,222.00","8,203.00","8,243.00","8,200.00",4.77K,0.28%
10/22/2024,"8,199.00","8,187.00","8,226.00","8,169.00",6.21K,-1.12%
10/21/2024,"8,292.00","8,292.00","8,292.00","8,292.00",0.00K,0.29%
10/18/2024,"8,268.00","8,268.00","8,268.00","8,268.00",,0.00%
10/17/2024,"8,268.00","8,200.00","8,200.00","8,200.00",0.00K,-0.42%
10/16/2024,"8,303.00","8,303.00","8,303.00","8,303.00",,-0.14%
10/15/2024,"8,315.00","8,315.00","8,315.00","8,315.00",,0.00%
10/14/2024,"8,315.00","8,350.00","8,352.00","8,218.00",0.28K,-0.01%
10/11/2024,"8,316.00","8,325.00","8,352.00","8,285.00",0.33K,0.29%
10/10/2024,"8,292.00","8,255.00","8,351.00","8,216.00",0.46K,0.35%
10/09/2024,"8,263.00","8,259.00","8,390.00","8,161.00",0.52K,-0.47%
10/08/2024,"8,302.00","8,239.00","8,385.00","8,239.00",0.17K,2.03%
09/30/2024,"8,137.00","8,031.00","8,170.00","7,990.00",0.39K,1.32%
09/27/2024,"8,031.00","8,040.00","8,056.00","7,994.00",0.21K,-0.11%
09/26/2024,"8,040.00","8,054.00","8,055.00","7,963.00",0.08K,-0.06%
09/25/2024,"8,045.00","8,037.00","8,055.00","8,030.00",0.59K,0.85%
09/24/2024,"7,977.00","7,963.00","8,008.00","7,939.00",0.73K,-0.08%
09/23/2024,"7,983.00","7,986.00","8,036.00","7,939.00",1.00K,-0.96%
09/20/2024,"8,060.00","8,075.00","8,077.00","8,008.00",0.62K,0.74%
09/19/2024,"8,001.00","7,952.00","8,069.00","7,944.00",1.05K,0.54%
09/18/2024,"7,958.00","8,003.00","8,010.00","7,925.00",0.56K,-2.49%
09/13/2024,"8,161.00","8,050.00","8,050.00","7,650.00",0.29K,0.77%
09/12/2024,"8,099.00","8,099.00","8,099.00","8,099.00",,-0.87%
09/11/2024,"8,170.00","8,170.00","8,170.00","8,170.00",,-0.12%
09/10/2024,"8,180.00","8,180.00","8,180.00","8,180.00",,-0.20%
09/09/2024,"8,196.00","8,196.00","8,198.00","8,196.00",0.23K,0.07%
