Date,Price,Open,High,Low,Vol.,Change %
2025/03/07,"7,287.00","7,297.00","7,315.00","7,230.00",0.03K,-0.03%
2025/03/06,"7,289.00","7,271.00","7,311.00","7,270.00",0.07K,0.04%
2025/03/05,"7,286.00","7,290.00","7,330.00","7,270.00",0.06K,-0.67%
2025/03/04,"7,335.00","7,335.00","7,335.00","7,335.00",,0.00%
2025/03/03,"7,335.00","7,302.00","7,351.00","7,276.00",0.20K,0.12%
2025/02/28,"7,326.00","7,348.00","7,351.00","7,287.00",0.19K,0.15%
2025/02/27,"7,315.00","7,350.00","7,351.00","7,280.00",0.61K,0.23%
2025/02/26,"7,298.00","7,332.00","7,333.00","7,271.00",0.88K,-0.49%
2025/02/25,"7,334.00","7,322.00","7,354.00","7,322.00",0.30K,-0.07%
2025/02/24,"7,339.00","7,348.00","7,356.00","7,323.00",0.44K,-0.34%
2025/02/21,"7,364.00","7,373.00","7,386.00","7,340.00",1.31K,-0.12%
2025/02/20,"7,373.00","7,375.00","7,379.00","7,366.00",1.18K,0.07%
2025/02/19,"7,368.00","7,376.00","7,380.00","7,355.00",1.34K,0.14%
2025/02/18,"7,358.00","7,358.00","7,358.00","7,358.00",0.13K,0.16%
2025/02/17,"7,346.00","7,346.00","7,346.00","7,346.00",,0.00%
2025/02/14,"7,346.00","7,346.00","7,346.00","7,346.00",,0.00%
2025/02/13,"7,346.00","7,346.00","7,346.00","7,346.00",0.08K,-0.57%
2025/02/12,"7,388.00","7,339.00","7,400.00","7,339.00",0.35K,0.67%
2025/02/11,"7,339.00","7,350.00","7,377.00","7,273.00",0.15K,-0.26%
2025/02/10,"7,358.00","7,358.00","7,358.00","7,358.00",0.10K,0.34%
2025/02/07,"7,333.00","7,314.00","7,350.00","7,296.00",0.19K,0.42%
2025/02/06,"7,302.00","7,306.00","7,306.00","7,296.00",0.01K,0.08%
2025/02/05,"7,296.00","7,296.00","7,296.00","7,296.00",0.01K,-0.34%
2025/01/27,"7,321.00","7,309.00","7,344.00","7,298.00",0.41K,0.16%
2025/01/24,"7,309.00","7,304.00","7,322.00","7,296.00",0.11K,-0.01%
2025/01/23,"7,310.00","7,317.00","7,351.00","7,298.00",0.35K,-0.58%
2025/01/22,"7,353.00","7,354.00","7,388.00","7,317.00",0.77K,-0.08%
2025/01/21,"7,359.00","7,369.00","7,371.00","7,346.00",0.50K,-0.14%
2025/01/20,"7,369.00","7,372.00","7,383.00","7,355.00",0.78K,-0.04%
2025/01/17,"7,372.00","7,367.00","7,395.00","7,341.00",3.52K,0.07%
2025/01/16,"7,367.00","7,378.00","7,397.00","7,336.00",2.64K,0.29%
2025/01/15,"7,346.00","7,300.00","7,313.00","7,283.00",0.28K,0.41%
2025/01/14,"7,316.00","7,322.00","7,322.00","7,311.00",0.02K,0.22%
