Date,Price,Open,High,Low,Vol.,Change %
2025/03/07,"4,809.00","4,824.00","4,829.00","4,800.00",0.68K,0.21%
2025/03/06,"4,799.00","4,803.00","4,830.00","4,783.00",0.74K,-0.44%
2025/03/05,"4,820.00","4,859.00","4,859.00","4,798.00",1.81K,-1.71%
2025/03/04,"4,904.00","5,038.00","5,038.00","4,874.00",4.66K,0.16%
2025/03/03,"4,896.00","4,864.00","4,925.00","4,864.00",4.39K,0.66%
2025/02/28,"4,864.00","4,874.00","4,883.00","4,838.00",17.39K,0.21%
2025/02/27,"4,854.00","4,849.00","4,880.00","4,823.00",12.22K,-0.21%
2025/02/26,"4,864.00","4,878.00","4,890.00","4,838.00",13.98K,-0.73%
2025/02/25,"4,900.00","4,922.00","4,931.00","4,870.00",15.21K,-0.45%
2025/02/24,"4,922.00","4,927.00","4,947.00","4,900.00",8.21K,-0.79%
2025/02/21,"4,961.00","4,950.00","4,993.00","4,924.00",15.50K,0.40%
2025/02/20,"4,941.00","4,931.00","4,963.00","4,910.00",20.43K,0.39%
2025/02/19,"4,922.00","4,941.00","4,957.00","4,897.00",14.95K,1.28%
2025/02/18,"4,860.00","4,921.00","4,940.00","4,903.00",0.31K,-0.76%
2025/02/17,"4,897.00","4,882.00","4,924.00","4,871.00",1.77K,0.74%
2025/02/14,"4,861.00","4,840.00","4,894.00","4,840.00",0.30K,-0.33%
2025/02/13,"4,877.00","4,918.00","4,920.00","4,840.00",0.09K,-0.43%
2025/02/12,"4,898.00","4,887.00","4,912.00","4,862.00",0.43K,0.08%
2025/02/11,"4,894.00","4,870.00","4,915.00","4,870.00",0.76K,0.68%
2025/02/10,"4,861.00","4,869.00","4,877.00","4,832.00",0.41K,0.52%
2025/02/07,"4,836.00","4,722.00","4,900.00","4,722.00",3.01K,0.33%
2025/02/06,"4,820.00","4,851.00","4,851.00","4,800.00",1.52K,-0.64%
2025/02/05,"4,851.00","4,857.00","4,860.00","4,792.00",2.33K,-0.12%
2025/01/27,"4,857.00","4,815.00","4,915.00","4,815.00",2.20K,0.87%
2025/01/24,"4,815.00","4,820.00","4,844.00","4,792.00",2.79K,-0.68%
2025/01/23,"4,848.00","4,918.00","4,918.00","4,804.00",3.70K,-1.64%
2025/01/22,"4,929.00","4,928.00","4,954.00","4,906.00",3.63K,-0.40%
2025/01/21,"4,949.00","4,933.00","4,979.00","4,918.00",6.53K,0.47%
2025/01/20,"4,926.00","4,951.00","4,962.00","4,881.00",10.22K,-0.61%
2025/01/17,"4,956.00","4,966.00","4,989.00","4,932.00",20.84K,0.67%
2025/01/16,"4,923.00","4,914.00","4,967.00","4,874.00",17.73K,2.48%
2025/01/15,"4,804.00","4,850.00","4,875.00","4,815.00",3.69K,-1.07%
2025/01/14,"4,856.00","4,832.00","4,877.00","4,827.00",0.92K,0.71%
2025/01/13,"4,822.00","4,769.00","4,850.00","4,769.00",1.20K,1.11%
2025/01/10,"4,769.00","4,780.00","4,795.00","4,750.00",1.67K,0.44%
2025/01/09,"4,748.00","4,700.00","4,783.00","4,700.00",4.01K,0.85%
2025/01/08,"4,708.00","4,709.00","4,740.00","4,682.00",4.34K,-1.42%
2025/01/07,"4,776.00","4,781.00","4,802.00","4,716.00",4.29K,-0.29%
2025/01/06,"4,790.00","4,652.00","4,803.00","4,652.00",3.47K,-0.27%
2025/01/03,"4,803.00","4,880.00","4,880.00","4,773.00",4.99K,-1.58%
2025/01/02,"4,880.00","4,902.00","4,912.00","4,855.00",5.38K,-0.93%
2024/12/31,"4,926.00","4,962.00","4,986.00","4,877.00",129.18K,-1.04%
2024/12/30,"4,978.00","4,970.00","4,996.00","4,951.00",89.35K,0.10%
2024/12/27,"4,973.00","4,957.00","5,007.00","4,944.00",79.42K,-0.42%
2024/12/26,"4,994.00","4,956.00","5,017.00","4,956.00",103.68K,0.08%
2024/12/25,"4,990.00","5,011.00","5,038.00","4,946.00",195.82K,-0.72%
2024/12/24,"5,026.00","5,034.00","5,058.00","5,002.00",131.61K,0.34%
2024/12/23,"5,009.00","4,970.00","5,047.00","4,970.00",244.55K,0.76%
2024/12/20,"4,971.00","4,965.00","5,003.00","4,941.00",392.25K,-0.44%
2024/12/19,"4,993.00","5,028.00","5,038.00","4,963.00",541.11K,-0.85%
2024/12/18,"5,036.00","5,018.00","5,062.00","5,013.00",583.79K,-0.30%
2024/12/17,"5,051.00","5,063.00","5,074.00","5,023.00",611.66K,1.02%
2024/12/16,"5,000.00","5,018.00","5,055.00","4,967.00",839.88K,0.22%
2024/12/13,"4,989.00","4,970.00","5,000.00","4,965.00",1.12K,-0.48%
2024/12/12,"5,013.00","4,996.00","5,031.00","4,996.00",2.43K,0.52%
2024/12/11,"4,987.00","4,980.00","5,000.00","4,974.00",0.62K,0.97%
2024/12/10,"4,939.00","4,910.00","5,045.00","4,910.00",0.69K,0.59%
2024/12/09,"4,910.00","4,880.00","4,930.00","4,880.00",0.82K,-1.13%
2024/12/06,"4,966.00","4,991.00","4,991.00","4,924.00",1.66K,-0.50%
2024/12/05,"4,991.00","4,970.00","5,000.00","4,970.00",2.38K,0.42%
2024/12/04,"4,970.00","5,010.00","5,010.00","4,936.00",1.10K,-2.01%
2024/12/03,"5,072.00","5,100.00","5,100.00","5,055.00",0.27K,-1.05%
2024/12/02,"5,126.00","5,115.00","5,137.00","5,114.00",0.62K,-0.49%
2024/11/29,"5,151.00","5,189.00","5,189.00","5,127.00",1.30K,-0.29%
2024/11/28,"5,166.00","5,179.00","5,198.00","5,151.00",0.95K,-0.25%
2024/11/27,"5,179.00","5,181.00","5,195.00","5,157.00",0.60K,-0.35%
2024/11/26,"5,197.00","5,200.00","5,217.00","5,169.00",0.44K,-0.29%
2024/11/25,"5,212.00","5,183.00","5,232.00","5,183.00",0.37K,-0.25%
2024/11/22,"5,225.00","5,261.00","5,278.00","5,174.00",0.78K,-0.34%
2024/11/21,"5,243.00","5,232.00","5,264.00","5,217.00",0.83K,0.36%
2024/11/20,"5,224.00","5,230.00","5,242.00","5,199.00",2.06K,-0.11%
2024/11/19,"5,230.00","5,231.00","5,252.00","5,205.00",1.40K,-0.02%
2024/11/18,"5,231.00","5,245.00","5,257.00","5,201.00",4.70K,-0.63%
2024/11/15,"5,264.00","5,272.00","5,304.00","5,230.00",6.51K,-1.28%
2024/11/14,"5,332.00","5,218.00","5,218.00","5,218.00",0.52K,1.29%
2024/11/13,"5,264.00","5,250.00","5,280.00","5,248.00",0.22K,0.30%
2024/11/12,"5,248.00","5,230.00","5,255.00","5,230.00",0.02K,-0.51%
2024/11/11,"5,275.00","5,202.00","5,243.00","5,202.00",0.31K,-1.44%
2024/11/08,"5,352.00","5,380.00","5,400.00","5,300.00",0.18K,-0.41%
2024/11/07,"5,374.00","5,295.00","5,400.00","5,295.00",0.10K,0.94%
2024/11/06,"5,324.00","5,357.00","5,357.00","5,283.00",0.66K,-0.67%
2024/11/05,"5,360.00","5,319.00","5,375.00","5,318.00",0.38K,0.15%
2024/11/04,"5,352.00","5,346.00","5,375.00","5,329.00",0.99K,0.07%
2024/11/01,"5,348.00","5,370.00","5,370.00","5,320.00",0.65K,-0.45%
2024/10/31,"5,372.00","5,370.00","5,400.00","5,350.00",3.02K,-0.11%
